ID;Area Category;Rank Area Category;Nama Daerah;Surabaya Wilayah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Encode Terjual/Belum;Status Kepemilikan;Rank Status Kepemilikan;Arah Hadap Rumah;Rank Arah Hadap Rumah;Posisi Rumah;Rank Posisi Rumah;Lebar Jalan Depan Rumah (ROW);Pemilik Butuh Uang (Urgent);Encode Butuh Uang;Umur Bangunan;Siap Huni (Y/N);Furnish  (Y/N);Encode Furnish;Listed Berapa Lama;Encode Listed;Pasar;Sekolah;"Faskes/
Rumah Sakit";Mall;Tempat Ibadah;Makam;Club House;Transportasi Umum;Jalan Raya Utama
;Below Standard;1;pondok benowo;Sby Barat;72;50;2;1;1;575000000;575000000;0;Belum;0;Hak Milik (SHM);5;Barat;1;Standard;6;1-2 Mobil;Yes;1;1 - 4 Tahun;Yes;No;0;1 bln;1;;;;;;;;;
;Below Standard;1;golden berry menganti;Gresik;72;93;2;1;2;450000000;450000000;0;Belum;0;Hak Milik (SHM);5;Utara;2;Standard;6;1-2 Mobil;Yes;1;> 10 Tahun;Yes;No;0;5 bln;5;;;;;;;;;
;Below Standard;1;ploso timur;Sby Timur;64;70;2;2;2;750000000;685000000;680000000;Terjual;1;Hak Milik (SHM);5;Utara;2;Standard;6;1-2 Mobil;Yes;1;;Yes;No;0;;;Yes;;Yes;;;;;;
;Below Standard;1;green menganti regency;Gresik;42;72;2;1;2;375000000;375000000;370000000;Terjual;1;Hak Milik (SHM);5;Utara;2;Standard;6;1-2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2 tahun;24;;;;;;;;;
;Below Standard;1;ploso timur;Sby Timur;104;98;3;2;1;1000000000;890000000;860000000;Terjual;1;Hak Milik (SHM);5;Utara;2;Standard;6;1-2 Mobil;No;0;;Yes;No;0;;;Yes;;Yes;;;;;;
;Below Standard;1;kupang indah;Sby Barat;300;215;4;4;1;3000000000;2700000000;0;Belum;0;Hak Milik (SHM);5;Utara;2;Standard;6;> 2 Mobil;Yes;1;> 10 Tahun;Yes;Yes;1;6 bulan;6;No;No;No;No;No;No;No;No;No
;Standard;2;alam galaxy;Sby Barat;72;48;1;2;2;1300000000;1400000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Utara;2;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;Yes;1;2021;8;No;Yes;No;No;No;No;No;No;Yes
;Standard;2;alam galaxy;Sby Barat;72;50;1;2;1;1400000000;1400000000;0;Belum;0;Hak Milik (SHM);5;Timur;4;Standard;6;1-2 Mobil;Yes;1;1 - 4 Tahun;Yes;No;0;2 bln;2;;;;;;;;;
;Standard;2;north west park, citraland utara;Sby Barat;72;36;1;1;1;750000000;750000000;750000000;Terjual;1;Pengikatan Perjanjian Jual Beli (PPJB);3;Barat;1;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;;;;;;;;;;;
;Standard;2;bukit palma;Sby Barat;120;100;2;1;1;1150000000;1300000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Timur;4;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;2020;20;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes
;Standard;2;northwest park;Sby Barat;72;46;2;1;1;1000000000;1085200000;961680000;Terjual;1;Hak Guna Bangunan (HGB);4;Timur;4;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;Yes;1;2020;20;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;2;northwest park;Sby Barat;72;46;2;1;1;1000000000;900000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Utara;2;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2020;20;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;2;northwest park;Sby Barat;72;46;2;1;1;1000000000;1025200000;907680000;Terjual;1;Hak Guna Bangunan (HGB);4;Utara;2;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;Yes;1;2020;20;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;2;northwest park;Sby Barat;72;46;2;1;1;1000000000;1000000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Selatan;3;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2020;20;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;2;northwest park;Sby Barat;90;70;2;2;2;1400000000;1600000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Selatan;3;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2020;20;Yes;Yes;Yes;No;No;Yes;No;No;Yes
;Standard;2;northwest park;Sby Barat;72;46;2;1;1;800000000;825000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Selatan;3;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2020;20;Yes;Yes;Yes;No;No;Yes;No;No;Yes
;Standard;2;grand sunrise;Gresik;90;48;2;1;1;900000000;800000000;0;Belum;0;Hak Milik (SHM);5;Selatan;3;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;2021;8;No;No;No;No;No;No;No;No;Yes
;Standard;2;bayleaf;Sby Selatan;60;40;2;1;1;400000000;500000000;0;Belum;0;Pengikatan Perjanjian Jual Beli (PPJB);3;Selatan;3;Standard;6;1-2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2021;8;Yes;No;Yes;No;Yes;Yes;No;Yes;Yes
;Standard;2;puri surya jaya;Sidoarjo;105;70;2;1;1;700000000;899000000;0;Belum;0;Hak Milik (SHM);5;Barat;1;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;2020;20;No;Yes;No;No;Yes;No;Yes;No;No
;Standard;2;palma classica;Sby Barat;105;60;2;1;1;1200000000;1200000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Timur;4;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;2021;8;Yes;Yes;Yes;No;Yes;No;No;No;Yes
;Standard;2;northwest park;Sby Barat;72;54;2;1;1;1000000000;1100000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Utara;2;Standard;6;> 2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;2021;8;Yes;Yes;Yes;No;No;No;No;No;Yes
;Standard;2;grand harvest;Sby Selatan;60;77;2;2;2;1100000000;1200000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Selatan;3;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2021;8;No;No;No;No;No;No;No;No;No
;Standard;2;grand harvest;Sby Selatan;69;77;2;2;2;1100000000;1200000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Selatan;3;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2021;8;No;No;No;No;No;No;No;No;No
;Standard;2;pakal;Sby Barat;88;70;2;1;1;500000000;750000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Barat;1;Standard;6;1-2 Mobil;No;0;1 - 4 Tahun;Yes;Yes;1;2021;8;No;No;No;No;Yes;No;No;No;Yes
;Standard;2;royal;Sby Barat;50;65;2;1;2;1400000000;1300000000;0;Belum;0;Hak Guna Bangunan (HGB);4;Utara;2;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2021;8;No;Yes;No;No;Yes;No;Yes;No;Yes
;Standard;2;greenhill;Sby Barat;98;50;2;1;1;1250000000;1250000000;0;Belum;0;Pengikatan Perjanjian Jual Beli (PPJB);3;Barat;1;Standard;6;> 2 Mobil;No;0;1 - 4 Tahun;Yes;No;0;2021;8;No;Yes;Yes;No;No;Yes;Yes;No;Yes
;Standard;2;perum tenggilis mejoyo;Sby Timur;84;106;2;5;2;1575000000;1575000000;0;Belum;0;Hak Milik (SHM);5;Timur;4;Standard;6;1-2 Mobil;Yes;1;1 - 4 Tahun;Yes;No;0;4 bln;4;Yes;Yes;;Yes;;;;;
;Standard;2;citraland utara greenhill;Sby Barat;97;50;2;1;1;1149000000;1149000000;0;Belum;0;Pengikatan Perjanjian Jual Beli (PPJB);3;Timur;4;Standard;6;1-2 Mobil;Yes;1;1 - 4 Tahun;Yes;No;0;2 bln;2;;;;;;;;;
;Standard;2;griya pesona asri medayu rungkut;Sby Timur;78;50;2;1;1;975000000;975000000;0;Belum;0;Hak Milik (SHM);5;Selatan;3;Standard;6;> 2 Mobil;Yes;1;5 - 10 Tahun;Yes;No;0; 3 bln;3;;;;;;;;;
;Standard;2;wiguna tengah;Sby Timur;60;50;2;1;1;750000000;750000000;0;Belum;0;Hak Milik (SHM);5;Selatan;3;Standard;6;1-2 Mobil;Yes;1;1 - 4 Tahun;Yes;No;0;1 bln;1;;;;;;;;;
;Standard;2;citraland utara;Sby Barat;72;45;2;1;1;850000000;900000000;0;Belum;0;Pengikatan Perjanjian Jual Beli (PPJB);3;Utara;2;Tusuk Sate;1;1-2 Mobil;No;0;5 - 10 Tahun;Yes;No;0;1 thn;12;Yes;Yes;No;No;Yes;No;No;No;No
;Standard;2;citraland;Sby Barat;105;100;2;1;2;1500000000;1400000000;1100000000;Terjual;1;Hak Milik (SHM);5;Utara;2;Standard;6;1-2 Mobil;Yes;1;> 10 Tahun;Yes;No;0;3 bulan;3;Yes;Yes;No;No;Yes;No;No;No;No
